Hotel_Name,Hotel_Rating,City,Hotel_Price,Place_ID,Photo_Reference
The Park Hotel,4.4,kolkata,7295,ChIJQfOk-wV3AjoRGs05cT1ogvM,AdDdOWqExGjRR9vhTSuTFOUZ2SrFczyt5HNO2NkSDYVPCz6osLy7cDNERbZZC1QZLP8ORsaD_usO8Bid3HkU3X1bvKSgKSQTAIE4Zc0j0pIajjPvTVMVtuSzyI6Pdgmu1MfuYR4mEhl4RfV6sXfHZ1n94FHKiP72uu-ecDuUUUQY-F-TeV5T
"The Oberoi Grand, Kolkata",4.4,kolkata,4534,ChIJ33o0YBF3AjoRmeCs4RBy3Hk,AdDdOWpfFUFlZFsp0ThDfa8nxRnOtFsDOb1Oey2NOEl8prA5FfXh8bTC0kT_d8V2QAwIpzkQSJosopChBnNg1DGZNXERJtlraDQ9TgmHX8tls4rwM44N50mcxVNtLOWhg8ZMzVRD4wbepxWyae-ejTuEWvdEoy_h-p5kvAV03NtN8LURQhbJ
"The Oberoi Grand, Kolkata",4.4,kolkata,6048,ChIJ33o0YBF3AjoRmeCs4RBy3Hk,AdDdOWodfdadKqrFlDrW3zKivtwpZn_HWMLN8a5ZgWCjOo-gnxgmLfBMYscTEiqRZsMrHjvGz4EjVqwtI-sg9IK9SbzmHfcqEX8ZGeozWEvf7t1wI0w939KOzwQycO0YAsZOXUG13AGm9G-iU3-I9I6tvdSjNnPCym-UFOmB7YmQHwHWGPez
The Elite Apartment Hotel,4.7,kolkata,784,ChIJr3OlGftzAjoRBaFZT5Bm9bQ,AdDdOWoCybSbWSifzRAP32lNmo1f_Y_q8S9LhG_deTTbk0-l0QELGc4SdNFzZNtHVZR-n1wH3fkD8RljBZONjFeWAl4TNurGyNSvhTzrwSm8SGUo9Qk6RBk2hdFIprAgFLriQusyn9ApRxUWtTOIpdBoSNe3yvniTRlDZKsplUwl-KbKBxwM
Golden Parkk Hotel,4.0,kolkata,3790,ChIJMZL_zrh7AjoRZop6teoPiWM,AdDdOWqqrpNPDNhxEq3fk7u4j3eG_Im-4G-vvWUtEzuDkTdUnBQKDs2XIWiu-wOncjCOr7bPNumq4HrVxn8vgMCVglNTL_2tROYvSvu4o85ygRVjCyi9sm98XRA-omjE0VeKSHIRGu6N-u9x44baH5Yk2zoJnfJvgSKGrRGkxeclFE0-oYQn
Aristro Club,4.0,kolkata,1344,ChIJ6agpTeh6AjoRfXAlIuNf3zI,AdDdOWoi4ZW9mmNE2mWQoBKZ53sNH_41rPpl3mfWuD6RyLq1G0mI1iNp7TMEubNP_1Pt1PT25vihfbQivr4XnYY-WnJn6srddRmqbjpHkIKXyfu_GSqvyp6jGrPuFqdS_M5iYNf3NbGBGvbVLzSGs9q9TUc7EJFQ5WYyrQ4j-pR9ppHemjg1
The Panash (Hotel and Banquets),4.4,kolkata,1565,ChIJTQ-odyd3AjoRmD6aete2h9k,AdDdOWptRuDtZ-ziJ6gTIdc75dRo_1GHUPNpd_QS2Qy9hshQ_Hnust2cGrhX0AHbTmOrfiML6jpsFhrh4Epaew8Ddd-fwfDv3ZXk-z10yy75hfocnKjKg-jTupJUyu4kRBbMrHWUQr4XvfJZFVznMYSFPliF6B0KvIQlVaX0C3YWZkUe7DmA
HOTEL ORCHID INN,4.2,kolkata,1027,ChIJjVyGQO93AjoRM3uUg4AZgIM,AdDdOWoroyd685Sx_mluulWiYeGgd0MGUuSCTmXExiPsiJCtehSLlMtW8KbUFv1RKzKerEFcfjEMPBWyIuJbvtnPQw4Hx1ni0ZunjC4ALHoSy_A1Q6Ki3wU4JKS9zDyC54UFRJnZ56XQY5qy6oVGnKTCXWQ8-Ro0hfqn5cKgx_kh9kz5KRAz
Bubble Beds Kolkata,4.3,kolkata,862,ChIJR1yjzXZxAjoRK4_3WXsbUeA,AdDdOWr57yNi37XIlhHU5rbi-8vN6K1wdLRnlpdPnOXCOjtIlB6E3AlvYeevvSGibT7QhbdCPMMk-jUW4SI1re37oN9FobwfAzSbb7H3Wq3-POPVrPiSugJkjKDD2X-UfDzmQ9YDTEm-cAQmjB6U_O4I09uXvXKrZD3wjBGYETizASoY1deJ
Hotel Platinum,3.9,kolkata,1464,ChIJu3jk9OB2AjoRWYRjoAM9kQY,AdDdOWoK-V-wCbQWvDQuy0psU0nMrjw1stdZroTvA_Br1t6plL56T31y-7u1lhX0hpWv3CEL_FyLF1YPNJlh2VNz1MkGEIsbJzRFH_JMv4bvCs6iqRIhf-CC_zKzQQa2AtYaNAPIvBmK1anaWeJrCTR24tHr6iqzR3Fk95YLqhbh4QMSDtJ5
Aster Guest House Kolkata,4.0,kolkata,2885,ChIJO6XXAhB3AjoR-_c2wpeWFf0,AdDdOWqi1HuttLeVJLYqFUa6CczHXojjrqNgB9bVw5HoRXvDpzFYU4BR8SoI1quKvFlMfqmsu6wa4EU0SrdzSIP-bc2hjhe9vZyUGYWmTBEv1fZ4jPGsMsjp42MVzx_2ymoooxmNvgt2M8f6Wj_2bHDLl3_rJ5T2UhOVDxbpC41O4GV679ei
Hotel Radiant (Kolkata),4.0,kolkata,2731,ChIJj0aFIuB2AjoRK_opdLsjhZE,AdDdOWpdMsjHqHYGmJFQAdcr7u-tCo9A5MypqG1HftEBWtS0Y2iURxunxT0BcoJaxrp4-r4bDC7AsQ9v4uK_KAkOOOu2dXs_A_aEz2yTh1ehDKOmf3shvQVTbp6vzQCsc-P6-FdfJYf0eNkqrIZXGTdekg-QVadTf8s3ABlUdq2ENVUEykaP
