Name,Location,Locality,City,Rating,Cost
Mystique Melange,"Ashok Vihar Phase - 2, North Delhi", North Delhi,Delhi,4.2,1800
The Turkey Project,"DDA Complex,Defence Colony, South Delhi", South Delhi,Delhi,4.8,1500
Radio Station,"Kailash Colony, South Delhi", South Delhi,Delhi,4.3,1600
Cafe Emoji's,"Moti Bagh, South Delhi", South Delhi,Delhi,5.0,500
Nehru Place Social,"Epicuria Food Mall,Nehru Place, South Delhi", South Delhi,Delhi,4.4,2000
Troy Lounge and Bar,"Punjabi Bagh, West Delhi", West Delhi,Delhi,3.8,1500
The Race Lounge And Bar,"Rajouri Garden, West Delhi", West Delhi,Delhi,3.8,1200
High Bae,"Dhaula Kuan, West Delhi", West Delhi,Delhi,4.2,1600
Pipeline Cafe,"Satya Niketan, South Delhi", South Delhi,Delhi,4.2,800
Talli Station,"Naraina, West Delhi", West Delhi,Delhi,5.0,1500
Brickyard Cafe And Lounge,"Satya Niketan, South Delhi", South Delhi,Delhi,4.4,700
The Construction Co. Cafe,"Satya Niketan, South Delhi", South Delhi,Delhi,3.9,800
7 Old Town,"Hauz Khas, South Delhi", South Delhi,Delhi,4.2,1700
The Clay Oven,"Hotel Park Residency,Green Park, South Delhi", South Delhi,Delhi,4.4,800
Greetoz Cafe,"Hudson Lane, North Delhi", North Delhi,Delhi,4.0,700
No. 1 Uncles Parantha,"South Extension - 1, South Delhi", South Delhi,Delhi,4.0,400
Two Pots Kitchen,"Janakpuri, West Delhi", West Delhi,Delhi,4.9,600
The China Kitchen,"Hyatt Regency Delhi,Bhikaji Cama Place, South Delhi", South Delhi,Delhi,4.5,4500
Madrina,"Ashok Vihar Phase - 2, North Delhi", North Delhi,Delhi,4.2,2200
Taxi - World Food Cafe,"Vijay Nagar, North Delhi", North Delhi,Delhi,4.4,1200
Pind Balluchi,"Lajpat Nagar - 2, South Delhi", South Delhi,Delhi,4.1,1800
Fabcafe by Fabindia,"Lajpat Nagar - 3, South Delhi", South Delhi,Delhi,4.4,1200
Kabila Cafe,"Satya Niketan, South Delhi", South Delhi,Delhi,3.7,1000
Summer House Cafe,"DDA Shopping Complex,Hauz Khas, South Delhi", South Delhi,Delhi,4.2,2300
Full Stop,"Vijay Nagar, North Delhi", North Delhi,Delhi,5.0,1200
Imly,"Rajouri Garden, West Delhi", West Delhi,Delhi,4.1,800
Mic Drop Bar and Restaurant,"South Extension - 2, South Delhi", South Delhi,Delhi,4.0,1000
TK's Oriental Grill,"Hyatt Regency Delhi,Bhikaji Cama Place, South Delhi", South Delhi,Delhi,4.5,4000
Young Wild Free Cafe,"Satya Niketan, South Delhi", South Delhi,Delhi,4.0,800
Gola Sizzlers,"B.K Dutta Market,Rajouri Garden, West Delhi", West Delhi,Delhi,4.0,1200
Wow! Momo,"Palate of Delhi,Dhaula Kuan, West Delhi", West Delhi,Delhi,4.5,400
Rustic Cafe,"Satya Niketan, South Delhi", South Delhi,Delhi,3.9,800
The Branch Kitchen & Bar,"South Extension - 2, South Delhi", South Delhi,Delhi,4.0,2200
Seasonings - The Spice Mysteries,"Ashok Vihar Phase - 2, North Delhi", North Delhi,Delhi,4.1,1600
Kofuku,"Ansal Plaza Mall,Khel Gaon, South Delhi", South Delhi,Delhi,4.5,1800
Infinity Lounge Dine and Bar,"Punjabi Bagh, West Delhi", West Delhi,Delhi,4.1,1500
Bhalla King,"Lajpat Nagar - 2, South Delhi", South Delhi,Delhi,5.0,300
The Piano Man Jazz Club,"Safdarjung Enclave Market,Safdarjung, South Delhi", South Delhi,Delhi,4.4,2500
The Big House Cafe,"Satya Niketan, South Delhi", South Delhi,Delhi,3.6,700
Fio Cookhouse and Bar,"Epicuria Food Mall,Nehru Place, South Delhi", South Delhi,Delhi,4.4,4000
Annakoot by ISKCON Bangalore,"Preet Vihar, East Delhi", East Delhi,Delhi,3.6,500
The Chai Story,"Naraina, West Delhi", West Delhi,Delhi,4.3,400
Ziu,"Sangam Courtyard,RK Puram, South Delhi", South Delhi,Delhi,4.4,1500
Meraki Cafe & Bar,"DDA Complex,Defence Colony, South Delhi", South Delhi,Delhi,4.0,1600
Plum By Bent Chair,"Worldmark 2,Aerocity, South Delhi", South Delhi,Delhi,4.3,3000
TBK Kulcha's,"Janakpuri, West Delhi", West Delhi,Delhi,4.5,500
Da Safe Zone,"Satya Niketan, South Delhi", South Delhi,Delhi,3.6,1000
The Chai Story,"DLF South Square Mall,Sarojini Nagar, South Delhi", South Delhi,Delhi,3.0,400
Te Amo,"Ansal Plaza Mall,Khel Gaon, South Delhi", South Delhi,Delhi,4.3,2200
Only Bar,"Bhikaji Cama Place, South Delhi", South Delhi,Delhi,4.1,1000
Amar Jyoti,"Sarojini Nagar, South Delhi", South Delhi,Delhi,3.1,1000
Seoul Restaurant,"Ansal Plaza Mall,Khel Gaon, South Delhi", South Delhi,Delhi,4.8,2000
Frozen Bottle,"Defence Colony, South Delhi", South Delhi,Delhi,3.0,300
Boombox Cafe,"Rajouri Garden, West Delhi", West Delhi,Delhi,4.1,2500
For God's Cake,"Hudson Lane, North Delhi", North Delhi,Delhi,4.5,500
Cafe Platonic,"Satya Niketan, South Delhi", South Delhi,Delhi,3.9,1000
Chili's American Grill and Bar,"DLF Avenue,Saket, South Delhi", South Delhi,Delhi,4.3,2000
IKK Panjab,"B.K Dutta Market,Rajouri Garden, West Delhi", West Delhi,Delhi,4.3,1800
Raftaar - The High Speed Bar and Lounge,"Punjabi Bagh, West Delhi", West Delhi,Delhi,4.2,1600
Stupid Bar & Kitchen,"Lajpat Nagar - 2, South Delhi", South Delhi,Delhi,3.9,1000
Turn Up,"Satya Niketan, South Delhi", South Delhi,Delhi,3.1,1200
Ada'e Haandi's,"RK Puram, South Delhi", South Delhi,Delhi,5.0,800
Moh Maya Cafe,"Hudson Lane, North Delhi", North Delhi,Delhi,3.8,1500
Cafe Tesu,"Essex Farms,Aurobindo Marg, South Delhi", South Delhi,Delhi,4.4,2500
Spice Court,"PVR Payal,Naraina, West Delhi", West Delhi,Delhi,4.1,1500
Waffle Street,"Janakpuri, West Delhi", West Delhi,Delhi,4.1,400
Dramz,"Mehrauli, South Delhi", South Delhi,Delhi,4.1,2400
Sidewalk,"Hyatt Regency Delhi,Bhikaji Cama Place, South Delhi", South Delhi,Delhi,4.5,1000
Cafe,"Hyatt Regency Delhi,Bhikaji Cama Place, South Delhi", South Delhi,Delhi,4.2,4000
Veg Gulati,"Green Park, South Delhi", South Delhi,Delhi,4.4,1200
Cafe After Hours,"Paschim Vihar, West Delhi", West Delhi,Delhi,4.2,1200
Pirates Of Grill,"Ambience Mall,Vasant Kunj, South Delhi", South Delhi,Delhi,4.4,2000
Oh Boy Lounge,"Hudson Lane, North Delhi", North Delhi,Delhi,3.3,1600
Lord of the Drinks Forum,"Epicuria Food Mall,Nehru Place, South Delhi", South Delhi,Delhi,4.2,2000
